 ;Manually Marked;Keyword-based Searching;Tool;0: false    1-2-3: true    4:not applicable;;;
##net.eggenstein.android.calwidget;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
A Calendar Widget for your home screen:;1;1;2;;;;
space efficient:;0;0;0;;;;
shows as many events as possible;1;1;1;;;;
highly configurable;0;0;0;;;;
"offers many widget sizes Search for ""CalWidget 4 Tabs"" if you have Android 3.1: resizeable widget DO NOT move it to sdcard or it will stop working";0;0;0;;;;
Nexus S and ICS: some people reported that reinstalling helps.;0;0;0;;;;
Recent changes: Fix for backgrounds on higher density devices.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##se.catharsis.android.calendar;4;0;4;;;;
##\APPLICATION\TOOLS\ desc.txt;4;0;4;;;;
A simple and good looking calendar widget.;1;1;1;;;;
Displays anything from one to six upcoming events.;1;1;1;;;;
Highly customisable it can be made to look and feel like the user wants it.;0;0;0;;;;
Works with the sync providers on your phone and thereby supports Google Calendar, Exchange, Facebook etc.;1;1;1;;;;
It is a widget, this means that you need to add it to your home screen as stated in the thank you message.;0;0;0;;;;
Giving it one star and stating in the comments that it doesn't work is just silly.;0;0;0;;;;
IF YOU HAVE A ISSUE SEND ME AN EMAIL, I CAN'T ANSWER THE COMMENTS;0;0;0;;;;
Recent changes:;0;0;0;;;;
Fixed an issue with pre 2.0 devices;0;0;0;;;;
Again tried to fix the problem with calendar application and disabled multiple instances;0;1;1;;;;
Content rating: Everyone;0;0;0;;;;
##com.greenbeansoft.CheckmarkCalendarLite;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Checkmark Calendar is a multipurpose calendar solution and part of our personal organizer suite of products in Android platform.;0;1;0;;;;
The product enables user to access calendars created by Google Calendar, or by our own product;1;1;0;;;;
Checkmark To Do List Manager.;0;0;0;;;;
Tablet is now fully supported;0;0;0;;;;
The calendars can be viewed individually or in combination by generating an integrated calendar.;1;1;1;;;;
Checkmark Calendar provides Day, Week and Month viewing formats.;1;1;1;;;;
Each viewing format is customizable according to user's preferences.;0;0;0;;;;
Week viewing format supporting both 5day (work day) and 7day (whole week) views.;0;1;0;;;;
Each Calendar is color coded to distinguish from each other.;0;1;0;;;;
User can add/edit Google Calendar event or Checkmark To Do List Manager Task/Checklist directly from Checkmark Calendar.;1;1;1;;;;
Free version allows user to view events in previous month, current month and next month.;1;1;1;;;;
Full version has no limitation.;0;0;0;;;;
Native Google calendar color is inherited and can also be overridden.;1;1;1;;;;
Build in search function to find your tasks/events very easy.;1;1;1;;;;
Calendar can be viewed in different style based on calendar type(Country Holidays, religious Holidays, etc).;1;1;1;;;;
Please visit http://calendar.greenbeansoft.com/calendarstyle for supported calendar style.;0;1;0;;;;
