 ;Manually Marked;Keyword-based Searching;Tool;0: false    1-2-3: true    4:not applicable;;;
##com.ap.WidgetTest;4;0;4;;;;
##\APPLICATION\TOOLS;0;0;4;;;;
Add a small sticky note widget to your desktop.;0;0;0;;;
Tap to view Note, tap again to dismiss Long press open note near pin to edit ;0;0;0;;;
This is a widget, not an app, a widget;0;0;0;;;
You access it via the widget menu;0;0;0;;;;
In regards to the 1x1 size being smaller this isn't actually a bug but rather a result of me finally conforming to true android 1x1 specs of 72dp.;0;0;0;;;;
In addition I went from pixels to dp in order to make sure app scaled correctly on screens with differing dots per inch.;0;0;0;;;;
I will try come up with some compromise.;0;0;0;;;;
Recent changes: ;0;0;0;;;;
Higher quality notes Added 2x2 note size. ;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.androidpt.navigation2go;4;0;4;;;;
##\APPLICATION\TRAVEL_AND_LOCAL;0;0;4;;;;
Navigation2GO is an application to easily launch Google Maps Navigation (Google Maps Navigation required). ;0;0;0;;;;
New features: Home, Work and Settings buttons added and layout changes.;0;0;0;;;;
For any suggestions contact me.;0;1;0;;;;
NOTE:;0;0;0;;;;
Not yet compatible with resolutions of Motorola Droid/Milestone or HTC Tattoo. ;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##menion.android.locus.addon.contacts;4;0;4;;;;
##\APPLICATION\LIBRARIES_AND_DEMO;0;0;4;;;;
This is simple addon for Locus mapping application (version 0.9.17 and higher).;0;0;0;;;;
Allow to search contact location by address in Locus and add result into XX1.;1;1;1;;;;
This addon do not have any screen or widget.;0;0;0;;;;
Recent changes: *** 1.1 *** - graphics improvements - better icon, style same as Locus application!;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##de.hambuch.birthdayinfo;4;0;4;;;;
##\APPLICATION\SOCIAL;0;0;4;;;;
Never forget a birthday or anniversary.;0;0;0;;;;
Home screen widget displaying the upcoming birthday and anniversary dates of your contacts.;1;1;1;;;;
THIS IS A WIDGET, DO NOT OPEN, BUT ADD TO YOUR HOME SCREEN AS WIDGET!;0;0;0;;;;
For any problems, please read the FAQ on my homepage.;0;0;0;;;;
The widget reads all contacts with birthdays from your Android Adressbook.;1;1;1;;;;
Therefore you will have to maintain your contacts first (e.g. synchronize with Google).;1;1;1;;;;
An automatic Facebook synchronization is not supported yet!;0;0;0;;;;
If you encounter any problems with dates, please refer my FAQ at https://sites.google.com/site/erichambuch/birthdaywidget ;0;0;0;;;;
Recent changes: Minor bugfixes (notification, contacts from Facebook) ;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.asimag.widgets.contacts;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY;0;0;4;;;;
This is a Scrollable Photo Contact Widget;1;1;2;;;;
NOTE:;0;0;0;;;;
 It will only work on Launchers which support Scrollable Contacts: Launcher Pro, ADW Launcher, Zeam, Go Launcher, Home+ etc. are all supported Launcher.;1;1;1;;;;
Provided you enable Scrollable support in Launcher Settings.;0;0;0;;;;
Default Android Launcher does not support Scrollable Widget, neither does HTC Launcher or Samsung TouchWiz Launcher.;0;0;0;;;;
There are two Contact widgets: ;0;1;0;;;;
1) Contact Widget with 2x4 ;1;1;2;;;;
(This display contacts in single column) ;1;1;1;;;;
2) Contact Widget with 4x4 ;1;1;2;;;;
(This display contacts in 3 columns);1;1;1;;;;
Option to display All Contacts, Contact Groups, Favourites etc. ;1;1;1;;;;
Option to change background widget color Option to display custom heading on top Very Fast and low on memory. ;0;0;0;;;;
Recent changes: Added another widget 1x4 with 2 cols. ;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.plutonium.grocery_list;4;0;4;;;;
##\APPLICATION\SHOPPING;0;0;4;;;;
This grocery list app will save you time at the grocery store by remembering where items are located and sorting the list appropriately.;0;0;0;;;;
This stops you from walking back and forth across the store.;0;0;0;;;;
Can also send you list as an SMS message.;0;0;1;;;;
Fixed a force close in SMS sending.;0;0;1;;;;
Content rating: Not rated;0;0;0;;;;
##com.scottagarman.android.xblAvatar;4;0;4;;;;
##\APPLICATION\SOCIAL;0;0;4;;;;
Put you and your friends' Xbox Live Avatar on your home screen!;0;0;0;;;;
With this widget you can add multiple avatars to your home screen and view gamercards.;0;0;0;;;;
No login required.;0;0;0;;;;
Checkout about section if you are concerned with battery use.;0;0;0;;;;
App Version 1.9 -Sorry for delay, avatars should now load when phone is rebooted!;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##com.navlauncher.app;4;0;4;;;;
##\APPLICATION\TRANSPORTATION;0;0;4;;;;
After being removed from the Market, we're back, and better than ever!;0;0;0;;;;
If you have the old version, please uninstall it.;0;0;0;;;;
There is no way to upgrade it to this (or future) versions.;0;0;0;;;;
"This is a convenient launcher for Google Maps Navigation, similar to the ""Navigation"" launcher included in Google Maps.";0;0;0;;;;
Nav Launcher has all the same important features as the default Navigation launcher app, such as:;0;0;0;;;;
-Quick access to contacts, starred contacts, and favorites;1;1;1;;;;
-Easy entry of a typed or spoken address;0;0;0;;;;
-A history of where you've gone before ;0;0;0;;;;
"However, Nav Launcher makes it easier to access all of these, and allows you to set two Quick Favorites, for frequent destinations (such as ""Home"" or ""Work"").";0;0;0;;;;
If you always want a certain screen to start up (such as Contacts, Favorites, or History), then you can customize it to do exactly that!;0;1;0;;;;
Nav Launcher can even launch itself whenever you place your phone in a car dock.;0;0;0;;;;
Recent changes: 3.0.0 beta 8 Fixed a crash when going into Settings on Android 3.0 and higher 3.0.0 beta 7 ;0;0;0;;;;
First release in the Market after being gone for 18 months.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##net.binu.platform.android.googletranslate;4;0;4;;;;
##\APPLICATION\BOOKS_AND_REFERENCE;0;0;4;;;;
Get fast, free translations of any words or phrases in any combination of over 50 languages with Google Translate on biNu.;0;0;0;;;;
Powered by biNu's highly optimised architecture which ensures super fast page loads and near instant response times even on slow or congested networks, including 2G.;0;0;0;;;;
Very low data usage is another key advantage of biNu when compared against standard browsers.;0;1;0;;;;
Content rating: Medium Maturity;0;0;0;;;;
##us.textr.Anonytext;4;0;4;;;;
##\APPLICATION\COMMUNICATION;0;0;4;;;;
Anonytext *Lite* does NOT allow you to view responses.;0;0;0;;;;
"To view responses you must use ""Anonytext Full"".";0;0;0;;;;
You can find it in the Marketplace for Android v2.1 devices.;0;0;0;;;;
Send fun, fast and free anonymous messages to cellphones in the United States and Canada.;1;0;1;;;;
All you need is the recipient's phone number and carrier.;0;1;0;;;;
Recent changes: Change your name (Previously a Full version-only feature);0;1;0;;;;
Bug fixes;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##kotipelto.photocall;4;0;4;;;;
##\APPLICATION\LIBRARIES_AND_DEMO;0;0;4;;;;
You don't have to remember a lot of names.;1;1;0;;;;
Just remember their face!;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##de.cirquent.android.yogaexercises;4;0;4;;;;
##\APPLICATION\SPORTS;0;0;4;;;;
The app enable you to access all yoga related information in a single application.;0;0;0;;;;
It includes yoga selection and images, instruction related to selected yoga exercise.;0;0;0;;;;
You can add your own yoga photo and detail information to selected category.;0;0;0;;;;
Also you can share the yoga exercise to your friends via Email and SMS.;1;1;1;;;;
Content rating: Medium Maturity;0;0;0;;;;
##com.att.soonr.backupandgo;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY;0;0;4;;;;
AT&T Tech Support 360 Backup and Go is an online data backup service for PCs & MACs.;0;1;0;;;;
This mobile companion application enables Backup and Go users to easily access their backed up files from an Android device.;0;0;0;;;;
It features a easy-to-use interface for mobile viewing, sharing and printing of your backed up files.;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##procal.gammapoint.com;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY;0;0;4;;;;
IAFF Foundation Pro-Calendar:;0;0;0;;;;
Shift Calendar/Organizer Supporting IAFF Foundation Charities FREE 30 day trial period;0;0;0;;;;
Designed by a firefighter for firefighters.;0;0;0;;;;
Once the trial period expires please purchase the premium IAFF Pro-Calendar key to unlock the app.;0;0;0;;;;
With every purchase a portion of the sale proceeds benefit several IAFF Foundations while the remaining proceeds go towards the continued support and development of the product.;0;0;0;;;;
The International Association of Fire Fighters and Pro-Calendar have teamed together and are excited to announce the release of the IAFF Charities Fire Fighter Android Calendar/Organizer App.;0;0;0;;;;
The most advanced App for scheduling and tracking critical job related information currently available for Fire Fighters.;0;0;0;;;;
BACKGROUND:;0;0;0;;;;
Our mobile app is based off our popular 48 page pocket shift calendar/organizer which retails for $15.00.;0;0;0;;;;
Available at $6.99 for a 12 month subscription, the IAFF Pro-Calendar app is an even better value at over 50% off compared to our calendar/organizers.;0;0;0;;;;
For less than half the price you get twice the value of our paper product!;0;0;0;;;;
In addition, feel good knowing part of the proceeds of the yearly subscription not only provide support to continually update and improve the app but also benefits the IAFF Charities.;0;0;0;;;;
DESCRIPTION: ;0;0;0;;;;
FREE 30 day trial period The IAFF Pro-Calendar is a powerful software program developed for the Android and specifically designed to program unique fire fighter color-coded shift schedules and track various work related activities important to todays Fire Fighter.;0;0;0;;;;
Please note that this is a somewhat complex app, and may take some time to learn.;0;0;0;;;;
We have created many tutorials (www.pro-calendar.com/iphone/tutorials.html) for all of the features as well as included an area to email us in the help section.;0;1;0;;;;
Please do not hesitate to ask us for help.;0;0;0;;;;
FEATURES:;0;0;0;;;;
Track Real Time Balances: ;0;0;0;;;;
-Shift trades ;0;0;0;;;;
-Sick time ;0;0;0;;;;
-Comp time ;0;0;0;;;;
-Overtime ;0;0;0;;;;
-Vacation time ;0;0;0;;;;
-Training Calendar ;0;0;0;;;;
Specific Features: ;0;0;0;;;;
-Custom to your color-coded shift schedule ;0;0;0;;;;
-Add Kelly and Debit day cycles ;0;0;0;;;;
-Payday cycles ;0;0;0;;;;
-Set reoccurring appointments with individual alarms Exposure ;0;0;0;;;;
- Incident Logs: ;0;0;0;;;;
-Medical ;0;0;0;;;;
-Fire ;0;0;0;;;;
-Haz Mat ;0;0;0;;;;
-Other incidents ;0;0;0;;;;
Quickly record vital information related to exposures;0;0;0;;;;
a critical component when dealing with presumptive disease documentation.;0;0;0;;;;
Highlighted Features Include: ;0;0;0;;;;
-Alarm mode reminders for important appointments, meetings and dates ;0;0;0;;;;
-Automatic adjustments of accrual rates for sick time and vacation hours tied to your specific pay periods ;0;0;0;;;;
The IAFF Foundation makes sure fire fighters, paramedics and their families are taken care of in their time of need by providing assistance following disasters or a line-of-duty death.;0;0;0;;;;
The IAFF Foundation also promotes fire and burn prevention, advocates for fire fighter and paramedic health and safety and promotes public education on how to prevent or recover from these traumatic events.;0;0;0;;;;
IAFF Pro-Calendar ;0;0;0;;;;
Shift Calendar/Organizer App Benefits the IAFF Foundation: ;0;0;0;;;;
