 ;Manually Marked;Keyword-based Searching;Tool;0: false    1-2-3: true    4:not applicable;;;
##Thermometer.Activity;0;0;4;;;;
##\APPLICATION\MEDICAL\_desc.txt;0;0;4;;;;
Thermometer Device is a powerful application software for temperature measurement which works on Android based smartphone.;0;0;0;;;;
Thermometer Device supports five major temperature measurements required in your whole life.;0;0;0;;;;
You can use it to measure oral/rectal temperature of your baby, or measure milk temperature to avoid burning the mouth of your baby.;0;0;0;;;;
It is very convenient to use in your daily life.;0;0;0;;;;
How to Use:;0;0;0;;;;
Download the Thermometer Device app software into your smartphone, launch it, and then connect the supported thermometer to your smartphone via headphone jack.;0;0;0;;;;
Now you can press the ON/OFF button on the thermometer to start a measurement.;0;0;0;;;;
Features;0;0;0;;;;
Support 5 temperature measurements: oral, rectal, water/milk, indoor/outdoor, and BBQ.;0;0;0;;;;
Speak and operate in multiple languages.;0;0;0;;;;
Show real-time measured temperature.;0;0;0;;;;
Save up to 9999 data sets.;0;0;0;;;;
Support Celsius and Fahrenheit display.;0;0;0;;;;
Provide low battery indication;0;0;0;;;;
Content rating: High Maturity;0;0;0;;;;
##com.fornris.abcguru;0;0;4;;;;
##\APPLICATION\EDUCATION\_desc.txt;0;0;4;;;;
ABC Guru teaches how to write (trace) numbers & alphabets and makes it fun by showing and spelling out.;0;0;0;;;;
It can teach multiple languages (English, Hindi, Telugu, Tamil, Bengali, Kannada, Malayalam and Korean) and more coming soon.;0;0;0;;;;
You can record your own traces and sounds and even share them with others!;1;1;1;;;;
It works in both landscape and portrait modes and remebers your preferences.;0;0;0;;;;
You can pick your own colors, finger size, turn off sounds and trace teaching.;0;0;1;;;;
You can scroll through letters and learn sequences.;0;0;0;;;;
It has smarts to show your trace in both orientations irrespective of which way you recorded.;0;1;0;;;;
You can reset the preferences to defaults.;0;0;0;;;;
It makes fun learning to write a new language script a funfilled activity both for kids and adults.;0;0;0;;;;
Please share your suggestions and feedback by sending an email to alphabet.guru@gmail.com or by joining http://groups.google.com/group/alphabetguru;0;0;0;;;;
Recent changes: Fixed for different screen sizes Added zoom support to show the trace on any screen size.;0;0;0;;;;
Fixed Korean font.;0;0;0;;;;
Next button will be disabled when showing the last letter and previous button will be disabled for first letter.;0;0;0;;;;
Added Gujarati, Oriya, Malayalam support.;0;0;0;;;;
Updated fonts.;0;0;0;;;;
Added options for sharing, recommending, rating.;0;0;0;;;;
Added a welcome screen.;0;0;0;;;;
Changed default colors to look like a board.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.ad960009.app.MicToSpeaker;0;0;4;;;;
##\APPLICATION\MEDIA_AND_VIDEO\_desc.txt;0;0;4;;;;
Mic stream to default out stream(Speaker or lineout);0;0;0;;;;
Tested: galaxy s, desire, motoroi Don't install Nexus One, Droid...;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##copenhagen.toddlerbible;0;0;4;;;;
##\APPLICATION\BOOKS_AND_REFERENCE\_desc.txt;0;0;4;;;;
Hear angry lions roaring in the story of Daniel in the lions den!;0;0;0;;;;
See Jesus in the boat as he stills the storm, meet little baby Moses in the basket or see when the walls of Jericho came trembling down when Joshua told his men to blow the horns!;0;0;0;;;;
And many more stories;0;0;0;;;;
THE PRINTED BOARD BOOK VERSION OF THE CARRY ALONG BIBLE HAS ALREADY SOLD TO MORE THAN 25 COUNTRIES.;0;0;0;;;;
NOW IT HAS BEEN TURNED INTO A FUN FILLED APP FOR TODDLERS AGES 0-4.;0;0;0;;;;
The recording menu has three different recording options so children can read and record their own voice or have their parents, brother, sister or a good friend to read the stories and record their voices for them.;1;1;1;;;;
"Young readers are walked through important events of our Bible from Old and New Testament; from creation to the ascension of Jesus (see content page).";0;0;0;;;;
Each of the stories are retold in a simple short summary of the Bible text;0;0;0;;;;
in a language toddlers understand.;0;0;0;;;;
